sample_id,suggested_quality_decision,confidence_score,main_failure_reasons,needs_hnmu_review,needs_learning_resource_review,needs_sgv_verification,source_checklist_rows,checked_by,checked_at
HNMU-G8-R0002-STT1,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0003-STT2,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0004-STT3,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0005-STT4,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0006-STT5,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0007-STT6,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0008-STT7,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0009-STT8,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0010-STT9,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0011-STT10,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
HNMU-G8-R0012-STT11,needs_human_review,0.47,Fragment học liệu chỉ ở trạng thái draft nên các tiêu chí SGK/SGV giữ ở mức uncertain.,True,True,True,RAW-CON-01;RAW-CON-02;RAW-CON-04;RAW-CON-06;RAW-CON-07,hnmu-dialogue-auditor(shard-01-grade8-9),2026-07-18T22:30:00+07:00
