position_id,grade,learning_material_id,material_type,lesson_item_id,lesson_label,position_label,print_page,page_kind,source_image_path,pdf_path,source_batch,evidence_type,status,hnmu_dialogue_count,notes
POS-TIN6-0001,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Câu 1.b, Luyện tập, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0002,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Hoạt động 1, Trang 6 SGK",6,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0003,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Hoạt động 2, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0004,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Luyện tập, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0005,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 5 SGK",5,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0006,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 6 SGK",6,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,4,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0007,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Mục 1, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0008,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Mục 2, Trang 6 SGK",6,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0009,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Mục 2, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0010,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,Vận dụng 1.b. Trang 7 SGK,7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0011,6,LM-SGK-TIN6-0001,SGK,TIN6-B01,Bài 1. Thông tin và dữ liệu,"Vận dụng 2, Trang 7 SGK",7,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0012,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Câu hỏi 2, Trang 10 SGK",10,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0013,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Câu hỏi b, Trang 9 SGK",9,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0014,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Hoạt động 1, Trang 19 SGK",19,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0015,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Hình 1.2, Trang 10 SGK",10,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0016,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Luyện tập 2, Trang 11 SGK",11,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0017,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Mục 1, Trang 10 SGK",10,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0018,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Mục 1, Trang 9 SGK",9,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,3,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0019,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Mục 2, Trang 10 SGK",10,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,2,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0020,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Mục 2, Trang 11 SGK",11,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0021,6,LM-SGK-TIN6-0001,SGK,TIN6-B02,Bài 2. Xử lí dữ liệu,"Vận dụng 1, Trang 11 SGK",11,print_page_from_hnmu_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
POS-TIN6-0022,6,LM-SGK-TIN6-0001,SGK_or_unspecified,TIN6-B02,Bài 2. Xử lí dữ liệu,Vận dụng thực tế,,non_page_or_unclear_position,,shared/learning_resources/compiled_documents/sgk_tin_hoc_6.pdf,HNMU Lớp 6.xlsx,source_evidence_hnmu_position,needs_hnmu_review,1,"Vị trí lấy từ cột Vị trí trong dữ liệu HNMU; chưa map chắc từ trang in sang image page, nên để trống source_image_path."
